# Region type : patch bottomWall
# Faces       : 200000
# Area        : 4.800000e+01
# Scale factor: 1.000000e+00
# Time        	areaAverage(yPlus)
250.0062      	2.177931e-01
250.0125      	2.177939e-01
250.0187      	2.177933e-01
250.025       	2.177926e-01
250.0312      	2.177924e-01
250.0375      	2.177922e-01
250.0437      	2.177919e-01
250.05        	2.177916e-01
250.0562      	2.177921e-01
250.0625      	2.177934e-01
250.0687      	2.177947e-01
250.075       	2.177961e-01
250.0812      	2.177975e-01
250.0875      	2.177995e-01
250.0937      	2.178021e-01
250.1         	2.178047e-01
250.1062      	2.178078e-01
250.1125      	2.178111e-01
250.1187      	2.178142e-01
250.125       	2.178180e-01
250.1312      	2.178217e-01
250.1375      	2.178254e-01
250.1437      	2.178291e-01
250.15        	2.178331e-01
250.1562      	2.178373e-01
250.1625      	2.178419e-01
250.1687      	2.178464e-01
250.175       	2.178509e-01
250.1812      	2.178551e-01
250.1875      	2.178596e-01
250.1937      	2.178640e-01
250.2         	2.178684e-01
250.2062      	2.178723e-01
250.2125      	2.178757e-01
250.2187      	2.178795e-01
250.225       	2.178835e-01
250.2312      	2.178874e-01
250.2375      	2.178911e-01
250.2437      	2.178941e-01
250.25        	2.178965e-01
250.2562      	2.178997e-01
250.2625      	2.179027e-01
250.2687      	2.179055e-01
250.275       	2.179078e-01
250.2812      	2.179097e-01
250.2875      	2.179123e-01
250.2937      	2.179148e-01
250.3         	2.179172e-01
250.3062      	2.179192e-01
250.3125      	2.179206e-01
250.3187      	2.179227e-01
250.325       	2.179248e-01
250.3312      	2.179268e-01
250.3375      	2.179293e-01
250.3437      	2.179318e-01
250.35        	2.179339e-01
250.3562      	2.179357e-01
250.3625      	2.179377e-01
250.3687      	2.179398e-01
250.375       	2.179418e-01
250.3812      	2.179440e-01
250.3875      	2.179462e-01
250.3937      	2.179483e-01
250.4         	2.179505e-01
250.4062      	2.179525e-01
250.4125      	2.179547e-01
250.4187      	2.179564e-01
250.425       	2.179583e-01
250.4312      	2.179605e-01
250.4375      	2.179627e-01
250.4437      	2.179650e-01
250.45        	2.179675e-01
250.4562      	2.179702e-01
250.4625      	2.179726e-01
250.4687      	2.179748e-01
250.475       	2.179768e-01
250.4812      	2.179793e-01
250.4875      	2.179820e-01
250.4937      	2.179855e-01
250.5         	2.179890e-01
250.5062      	2.179920e-01
250.5125      	2.179945e-01
250.5187      	2.179973e-01
250.525       	2.180004e-01
250.5312      	2.180041e-01
250.5375      	2.180080e-01
250.5437      	2.180116e-01
250.55        	2.180150e-01
250.5562      	2.180182e-01
250.5625      	2.180222e-01
250.5687      	2.180261e-01
250.575       	2.180302e-01
250.5812      	2.180341e-01
250.5875      	2.180377e-01
250.5937      	2.180411e-01
250.6         	2.180452e-01
250.6062      	2.180494e-01
250.6125      	2.180537e-01
250.6187      	2.180573e-01
250.625       	2.180605e-01
250.6312      	2.180643e-01
250.6375      	2.180686e-01
250.6437      	2.180727e-01
250.65        	2.180768e-01
250.6562      	2.180810e-01
250.6625      	2.180848e-01
250.6687      	2.180893e-01
250.675       	2.180941e-01
250.6812      	2.180989e-01
250.6875      	2.181036e-01
250.6937      	2.181086e-01
250.7         	2.181133e-01
250.7062      	2.181189e-01
250.7125      	2.181245e-01
250.7187      	2.181297e-01
250.725       	2.181354e-01
250.7312      	2.181409e-01
250.7375      	2.181465e-01
250.7437      	2.181525e-01
250.75        	2.181585e-01
250.7562      	2.181644e-01
250.7625      	2.181703e-01
250.7687      	2.181764e-01
250.775       	2.181825e-01
250.7812      	2.181885e-01
250.7875      	2.181948e-01
250.7937      	2.182010e-01
250.8         	2.182074e-01
250.8062      	2.182140e-01
250.8125      	2.182203e-01
250.8187      	2.182268e-01
250.825       	2.182335e-01
250.8312      	2.182403e-01
250.8375      	2.182468e-01
250.8437      	2.182532e-01
250.85        	2.182591e-01
250.8562      	2.182651e-01
250.8625      	2.182711e-01
250.8687      	2.182771e-01
250.875       	2.182832e-01
250.8812      	2.182888e-01
250.8875      	2.182942e-01
250.8937      	2.182992e-01
250.9         	2.183044e-01
250.9062      	2.183092e-01
250.9125      	2.183143e-01
250.9187      	2.183196e-01
250.925       	2.183248e-01
250.9312      	2.183300e-01
250.9375      	2.183346e-01
250.9437      	2.183389e-01
250.95        	2.183431e-01
250.9562      	2.183472e-01
250.9625      	2.183514e-01
250.9687      	2.183558e-01
250.975       	2.183597e-01
250.9812      	2.183632e-01
250.9875      	2.183663e-01
250.9937      	2.183692e-01
251           	2.183722e-01
251.0062      	2.183753e-01
251.0125      	2.183781e-01
251.0187      	2.183810e-01
251.025       	2.183836e-01
251.0312      	2.183859e-01
251.0375      	2.183881e-01
251.0437      	2.183905e-01
251.05        	2.183927e-01
251.0562      	2.183952e-01
251.0625      	2.183976e-01
251.0687      	2.184000e-01
251.075       	2.184025e-01
251.0812      	2.184054e-01
251.0875      	2.184088e-01
